"budget_class","name_cs","parent"
"1","DAŇOVÉ PŘÍJMY",""
"11","Daně z příjmů, zisku a kapitálových výnosů","1"
"111","Daně z příjmů fyzických osob","11"
"112","Daně z příjmů právnických osob","11"
"12","Daně ze zboží a služeb v tuzemsku","1"
"121","Obecné daně ze zboží a služeb v tuzemsku","12"
"122","Zvláštní daně a poplatky ze zboží a služeb v tuzemsku","12"
"123","Daň ze zemního plynu a některých dalších plynů","12"
"13","Daně a poplatky z vybraných činností a služeb","1"
"131","Nepoužívá se - 131","13"
"132","Daně a poplatky z provozu motorových vozidel","13"
"133","Poplatky a odvody v oblasti životního prostředí","13"
"134","Místní poplatky z vybraných činností a služeb","13"
"135","Ostatní odvody z vybraných činností a služeb","13"
"136","Správní poplatky","13"
"14","Daně a cla za zboží a služby ze zahraničí","1"
"140","Daně a cla za zboží a služby ze zahraničí","14"
"15","Majetkové daně","1"
"151","Daně z majetku","15"
"152","Daně z majetkových a kapitálových převodů","15"
"16","Povinné pojistné","1"
"161","Pojistné na sociální zabezpečení a příspěvek na státní politiku zaměstnanosti","16"
"162","Pojistné na sociální zabezpečení a příspěvek na státní politiku zaměstnanosti","16"
"163","Pojistné na veřejné zdravotní pojištění","16"
"164","Pojistné na úrazové pojištění","16"
"17","Ostatní daňové příjmy","1"
"170","Ostatní daňové příjmy","17"
"2","NEDAŇOVÉ PŘÍJMY",""
"21","Příjmy z vlastní činnosti a odvody přebytků organizací s přímým vztahem","2"
"211","Příjmy z vlastní činnosti","21"
"212","Odvody přebytků organizací s přímým vztahem","21"
"213","Příjmy z pronájmu majetku","21"
"214","Výnosy z finančního majetku","21"
"215","Soudní poplatky","21"
"22","Přijaté sankční platby a vratky transferů","2"
"221","Přijaté sankční platby","22"
"222","Přijaté vratky transferů a ostatní příjmy z finančního vypořádání předchozích let","22"
"23","Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy","2"
"231","Příjmy z prodeje krátkodobého a drobného dlouhodobého majetku","23"
"232","Ostatní nedaňové příjmy","23"
"233","Nepoužívá se - 233","23"
"234","Příjmy z využívání výhradních práv k přírodním zdrojům","23"
"235","Příjmy za využívání dalších majetkových práv","23"
"24","Přijaté splátky půjčených prostředků","2"
"241","Splátky půjčených prostředků od podnikatelských subjektů","24"
"242","Splátky půjčených prostředků od obecně prospěšných společností a podobných subjektů","24"
"243","Splátky půjčených prostředků od veřejných rozpočtů ústřední úrovně","24"
"244","Splátky půjčených prostředků od veřejných rozpočtů územní úrovně","24"
"245","Splátky půjčených prostředků od zřízených a podobných subjektů","24"
"246","Splátky půjčených prostředků od obyvatelstva","24"
"247","Splátky půjčených prostředků ze zahraničí","24"
"248","Splátky za úhradu dluhů nebo dodávek","24"
"3","KAPITÁLOVÉ PŘÍJMY",""
"31","Příjmy z prodeje dlouhodobého majetku a ostatní kapitálové příjmy","3"
"311","Příjmy z prodeje dlouhodobého majetku (kromě drobného)","31"
"312","Ostatní kapitálové příjmy","31"
"32","Příjmy z prodeje dlouhodobého finančního majetku","3"
"320","Příjmy z prodeje dlouhodobého finančního majetku","32"
"4","PŘIJATÉ DOTACE",""
"41","Neinvestiční přijaté dotace","4"
"411","Neinvestiční přijaté transfery od veřejných rozpočtů ústřední úrovně","41"
"412","Neinvestiční přijaté transfery od veřejných rozpočtů územní úrovně","41"
"413","Převody z vlastních fondů","41"
"414","Nepoužívá se - 414","41"
"415","Neinvestiční přijaté transfery ze zahraničí","41"
"416","Neinvestiční přijaté transfery ze státních finančních aktiv","41"
"42","Investiční přijaté transfery","4"
"421","Investiční přijaté transfery od veřejných rozpočtů ústřední úrovně","42"
"422","Investiční přijaté transfery od veřejných rozpočtů územní úrovně","42"
"423","Investiční přijaté transfery ze zahraničí","42"
"424","Investiční přijaté transfery ze státních finančních aktiv","42"
"5","BĚŽNÉ VÝDAJE",""
"50","Výdaje na platy, ostatní platby za provedenou práci a pojistné","5"
"501","Platy","50"
"502","Ostatní platby za provedenou práci","50"
"503","Povinné pojistné placené zaměstnavatelem","50"
"504","Odměny za užití duševního vlastnictví","50"
"505","Mzdové náhrady","50"
"51","Neinvestiční nákupy a související výdaje","5"
"511","Nepoužívá se - 511","51"
"512","Nepoužívá se - 512","51"
"513","Nákup materiálu","51"
"514","Úroky a ostatní finanční výdaje","51"
"515","Nákup vody, paliv a energie","51"
"516","Nákup služeb","51"
"517","Ostatní nákupy","51"
"518","Poskytnuté zálohy, jistiny, záruky a vládní úvěry","51"
"519","Výdaje související s neinvestičními nákupy, příspěvky, náhrady a věcné dary","51"
"52","Neinvestiční transfery podnikatelským subjektům a neziskovým organizacím. Neinvestiční transfery soukromoprávním subjektům","5"
"521","Neinvestiční transfery podnikatelským subjektům","52"
"522","Neinvestiční transfery neziskovým a podobným organizacím","52"
"523","Neinvestiční nedotační transfery podnikatelským subjektům","52"
"524","Neinvestiční nedotační transfery neziskovým a podobným organizacím","52"
"525","Nepoužívá se - 525","52"
"53","Neinvestiční transfery veřejnoprávním subjektům a mezi peněžními fondy téhož subjektu","5"
"531","Neinvestiční transfery veřejným rozpočtům ústřední úrovně","53"
"532","Neinvestiční transfery veřejným rozpočtům územní úrovně","53"
"533","Neinvestiční transfery příspěvkovým a podobným organizacím","53"
"534","Převody vlastním fondům","53"
"535","Nepoužívá se - 535","53"
"536","Ostatní neinvestiční transfery jiným veřejným rozpočtům","53"
"54","Neinvestiční transfery obyvatelstvu","5"
"541","Sociální dávky","54"
"542","Náhrady placené obyvatelstvu","54"
