"county","name_cs"
"kraj#Hlavní město Praha","Hlavní město Praha"
"kraj#Jihomoravský kraj","Jihomoravský kraj"
"kraj#Jihočeský kraj","Jihočeský kraj"
"kraj#Karlovarský kraj","Karlovarský kraj"
"kraj#Kraj Vysočina","Kraj Vysočina"
"kraj#Královéhradecký kraj","Královéhradecký kraj"
"kraj#Liberecký kraj","Liberecký kraj"
"kraj#Moravskoslezský kraj","Moravskoslezský kraj"
"kraj#Olomoucký kraj","Olomoucký kraj"
"kraj#Pardubický kraj","Pardubický kraj"
"kraj#Plzeňský kraj","Plzeňský kraj"
"kraj#Středočeský kraj","Středočeský kraj"
"kraj#Zlínský kraj","Zlínský kraj"
"kraj#Ústecký kraj","Ústecký kraj"
