"region","name_cs","parent"
"okres#Benešov","Okres Benešov","kraj#Středočeský kraj"
"okres#Beroun","Okres Beroun","kraj#Středočeský kraj"
"okres#Blansko","Okres Blansko","kraj#Jihomoravský kraj"
"okres#Brno-Město","Okres Brno-Město","kraj#Jihomoravský kraj"
"okres#Brno-Venkov","Okres Brno-Venkov","kraj#Jihomoravský kraj"
"okres#Bruntál","Okres Bruntál","kraj#Moravskoslezský kraj"
"okres#Břeclav","Okres Břeclav","kraj#Jihomoravský kraj"
"okres#Cheb","Okres Cheb","kraj#Karlovarský kraj"
"okres#Chomutov","Okres Chomutov","kraj#Ústecký kraj"
"okres#Chrudim","Okres Chrudim","kraj#Pardubický kraj"
"okres#Domažlice","Okres Domažlice","kraj#Plzeňský kraj"
"okres#Děčín","Okres Děčín","kraj#Ústecký kraj"
"okres#Frýdek-Místek","Okres Frýdek-Místek","kraj#Moravskoslezský kraj"
"okres#Havlíčkův Brod","Okres Havlíčkův Brod","kraj#Kraj Vysočina"
"okres#Hlavní město Praha","Okres Hlavní město Praha","kraj#Hlavní město Praha"
"okres#Hodonín","Okres Hodonín","kraj#Jihomoravský kraj"
"okres#Hradec Králové","Okres Hradec Králové","kraj#Královéhradecký kraj"
"okres#Jablonec Nad Nisou","Okres Jablonec Nad Nisou","kraj#Liberecký kraj"
"okres#Jeseník","Okres Jeseník","kraj#Olomoucký kraj"
"okres#Jihlava","Okres Jihlava","kraj#Kraj Vysočina"
"okres#Jindřichův Hradec","Okres Jindřichův Hradec","kraj#Jihočeský kraj"
"okres#Jičín","Okres Jičín","kraj#Královéhradecký kraj"
"okres#Karlovy Vary","Okres Karlovy Vary","kraj#Karlovarský kraj"
"okres#Karviná","Okres Karviná","kraj#Moravskoslezský kraj"
"okres#Kladno","Okres Kladno","kraj#Středočeský kraj"
"okres#Klatovy","Okres Klatovy","kraj#Plzeňský kraj"
"okres#Kolín","Okres Kolín","kraj#Středočeský kraj"
"okres#Kroměříž","Okres Kroměříž","kraj#Zlínský kraj"
"okres#Kutná Hora","Okres Kutná Hora","kraj#Středočeský kraj"
"okres#Liberec","Okres Liberec","kraj#Liberecký kraj"
"okres#Litoměřice","Okres Litoměřice","kraj#Ústecký kraj"
"okres#Louny","Okres Louny","kraj#Ústecký kraj"
"okres#Mladá Boleslav","Okres Mladá Boleslav","kraj#Středočeský kraj"
"okres#Most","Okres Most","kraj#Ústecký kraj"
"okres#Mělník","Okres Mělník","kraj#Středočeský kraj"
"okres#Nový Jičín","Okres Nový Jičín","kraj#Moravskoslezský kraj"
"okres#Nymburk","Okres Nymburk","kraj#Středočeský kraj"
"okres#Náchod","Okres Náchod","kraj#Královéhradecký kraj"
"okres#Olomouc","Okres Olomouc","kraj#Olomoucký kraj"
"okres#Opava","Okres Opava","kraj#Moravskoslezský kraj"
"okres#Ostrava-Město","Okres Ostrava-Město","kraj#Moravskoslezský kraj"
"okres#Pardubice","Okres Pardubice","kraj#Pardubický kraj"
"okres#Pelhřimov","Okres Pelhřimov","kraj#Kraj Vysočina"
"okres#Plzeň-Jih","Okres Plzeň-Jih","kraj#Plzeňský kraj"
"okres#Plzeň-Město","Okres Plzeň-Město","kraj#Plzeňský kraj"
"okres#Plzeň-Sever","Okres Plzeň-Sever","kraj#Plzeňský kraj"
"okres#Prachatice","Okres Prachatice","kraj#Jihočeský kraj"
"okres#Praha-Východ","Okres Praha-Východ","kraj#Středočeský kraj"
"okres#Praha-Západ","Okres Praha-Západ","kraj#Středočeský kraj"
"okres#Prostějov","Okres Prostějov","kraj#Olomoucký kraj"
"okres#Písek","Okres Písek","kraj#Jihočeský kraj"
"okres#Přerov","Okres Přerov","kraj#Olomoucký kraj"
"okres#Příbram","Okres Příbram","kraj#Středočeský kraj"
"okres#Rakovník","Okres Rakovník","kraj#Středočeský kraj"
"okres#Rokycany","Okres Rokycany","kraj#Plzeňský kraj"
"okres#Rychnov Nad Kněžnou","Okres Rychnov Nad Kněžnou","kraj#Královéhradecký kraj"
"okres#Semily","Okres Semily","kraj#Liberecký kraj"
"okres#Sokolov","Okres Sokolov","kraj#Karlovarský kraj"
"okres#Strakonice","Okres Strakonice","kraj#Jihočeský kraj"
"okres#Svitavy","Okres Svitavy","kraj#Pardubický kraj"
"okres#Tachov","Okres Tachov","kraj#Plzeňský kraj"
"okres#Teplice","Okres Teplice","kraj#Ústecký kraj"
"okres#Trutnov","Okres Trutnov","kraj#Královéhradecký kraj"
"okres#Tábor","Okres Tábor","kraj#Jihočeský kraj"
"okres#Třebíč","Okres Třebíč","kraj#Kraj Vysočina"
"okres#Uherské Hradiště","Okres Uherské Hradiště","kraj#Zlínský kraj"
"okres#Vsetín","Okres Vsetín","kraj#Zlínský kraj"
"okres#Vyškov","Okres Vyškov","kraj#Jihomoravský kraj"
"okres#Zlín","Okres Zlín","kraj#Zlínský kraj"
"okres#Znojmo","Okres Znojmo","kraj#Jihomoravský kraj"
"okres#Ústí Nad Labem","Okres Ústí Nad Labem","kraj#Ústecký kraj"
"okres#Ústí Nad Orlicí","Okres Ústí Nad Orlicí","kraj#Pardubický kraj"
"okres#Česká Lípa","Okres Česká Lípa","kraj#Liberecký kraj"
"okres#České Budějovice","Okres České Budějovice","kraj#Jihočeský kraj"
"okres#Český Krumlov","Okres Český Krumlov","kraj#Jihočeský kraj"
"okres#Šumperk","Okres Šumperk","kraj#Olomoucký kraj"
"okres#Žďár Nad Sázavou","Okres Žďár Nad Sázavou","kraj#Kraj Vysočina"
